Cluster;RA_ICRS;DE_ICRS;GLON;GLAT;r50;nbstars07;pmRA*;e_pmRA*;pmDE;e_pmDE;plx;e_plx;Flag;AgeNN;AVNN;DMNN;DistPc;X;Y;Z;Rgc;SimbadName;_RA.icrs;_DE.icrs
NGC_5925         ;231.847;-54.515;324.363;  1.735; 0.190; 377; -4.319; 0.163; -5.142; 0.150; 0.679; 0.050;NN            ; 8.69; 1.34;10.74;  1404;   1140;   -817;    42;  7245;NGC 5925                       ;231.8470;-54.5150
NGC_5999         ;238.046;-56.482;326.008; -1.936; 0.044; 183; -3.389; 0.094; -4.216; 0.097; 0.326; 0.039;NN            ; 8.30; 1.40;12.20;  2751;   2280;  -1537;   -92;  6251;NGC 5999                       ;238.0460;-56.4820
NGC_6005         ;238.955;-57.439;325.780; -2.989; 0.057; 289; -4.011; 0.120; -3.810; 0.116; 0.362; 0.060;NN            ; 9.10; 1.42;11.89;  2383;   1968;  -1338;  -124;  6510;NGC 6005                       ;238.9550;-57.4390
NGC_6025         ;240.779;-60.430;324.536; -5.869; 0.292; 286; -2.901; 0.175; -3.035; 0.169; 1.269; 0.056;NN            ; 8.02; 0.43; 9.38;   750;    608;   -433;   -76;  7743;NGC 6025                       ;240.7790;-60.4300
NGC_6031         ;241.907;-54.014;329.287; -1.502; 0.036;  67; -2.134; 0.122; -3.034; 0.100; 0.534; 0.058;NN            ; 7.95; 1.07;11.16;  1702;   1463;   -869;   -44;  6931;NGC 6031                       ;241.9070;-54.0140
NGC_6067         ;243.299;-54.227;329.740; -2.213; 0.112; 844; -1.907; 0.123; -2.586; 0.120; 0.443; 0.065;NN            ; 8.10; 0.97;11.37;  1881;   1624;   -947;   -72;  6782;NGC 6067                       ;243.2990;-54.2270
NGC_6087         ;244.721;-57.916;327.744; -5.417; 0.246; 227; -1.567; 0.138; -2.411; 0.148; 1.025; 0.062;NN            ; 8.00; 0.39; 9.90;   954;    803;   -507;   -90;  7553;NGC 6087                       ;244.7210;-57.9160
NGC_609          ;024.102;+64.540;127.743;  2.089; 0.026; 226; -0.673; 0.116; -0.072; 0.117; 0.144; 0.081;manual        ; 8.35; 3.11;13.50;  5023;  -3072;   3969;   183; 12083;NGC 609                        ;024.1020;+64.5400
NGC_6124         ;246.332;-40.661;340.735;  6.012; 0.401;1273; -0.203; 0.374; -2.094; 0.352; 1.557; 0.073;NN            ; 8.28; 1.93; 9.08;   654;    614;   -214;    68;  7728;NGC 6124                       ;246.3320;-40.6610
NGC_6134         ;246.953;-49.161;334.915; -0.210; 0.156; 802;  2.184; 0.211; -4.483; 0.184; 0.846; 0.062;NN            ; 8.99; 0.87;10.36;  1182;   1070;   -501;    -4;  7286;NGC 6134                       ;246.9530;-49.1610
NGC_6152         ;248.213;-52.629;332.939; -3.168; 0.150; 172; -2.511; 0.097; -4.980; 0.086; 0.594; 0.044;NN            ; 8.35; 1.01;11.05;  1618;   1439;   -735;   -89;  6939;NGC 6152                       ;248.2130;-52.6290
NGC_6167         ;248.662;-49.759;335.240; -1.429; 0.085; 122; -0.616; 0.146; -2.854; 0.159; 0.653; 0.035;NN            ; 8.19; 1.88;10.63;  1336;   1212;   -559;   -33;  7149;NGC 6167                       ;248.6620;-49.7590
NGC_6178         ;248.939;-45.635;338.408;  1.219; 0.080;  34;  0.521; 0.204; -3.342; 0.153; 1.099; 0.080;NN            ; 7.22; 0.52; 9.80;   913;    849;   -336;    19;  7498;NGC 6178                       ;248.9390;-45.6350
NGC_6192         ;250.077;-43.355;340.647;  2.140; 0.084; 514;  1.653; 0.190; -0.188; 0.138; 0.571; 0.058;NN            ; 8.38; 1.57;11.20;  1737;   1637;   -575;    64;  6726;NGC 6192                       ;250.0770;-43.3550
NGC_6193         ;250.319;-48.777;336.694; -1.576; 0.156; 428;  1.278; 0.372; -4.111; 0.244; 0.812; 0.096;NN            ; 6.71; 1.72;10.51;  1264;   1160;   -500;   -34;  7196;NGC 6193                       ;250.3190;-48.7770
NGC_6204         ;251.538;-47.027;338.552; -1.046; 0.061; 208; -0.690; 0.189; -0.596; 0.182; 0.805; 0.064;NN            ; 7.97; 1.13;10.46;  1235;   1150;   -451;   -22;  7204;NGC 6204                       ;251.5380;-47.0270
NGC_6208         ;252.336;-53.714;333.754; -5.741; 0.162; 314; -0.966; 0.130; -1.519; 0.129; 0.830; 0.046;NN            ; 9.15; 0.66;10.42;  1215;   1084;   -534;  -121;  7275;NGC 6208                       ;252.3360;-53.7140
NGC_6216         ;252.335;-44.721;340.671;  0.019; 0.057; 150; -1.272; 0.127; -2.546; 0.108; 0.367; 0.046;NN            ; 7.68; 2.15;12.06;  2578;   2433;   -853;     0;  5967;NGC 6216                       ;252.3350;-44.7210
NGC_6231         ;253.545;-41.812;343.476;  1.190; 0.147; 527; -0.529; 0.175; -2.177; 0.186; 0.589; 0.058;NN            ; 7.14; 1.07;10.84;  1475;   1414;   -419;    30;  6938;NGC 6231                       ;253.5450;-41.8120
NGC_6242         ;253.878;-39.474;345.454;  2.464; 0.104; 471;  1.149; 0.199; -0.825; 0.174; 0.755; 0.075;NN            ; 7.89; 1.03;10.48;  1246;   1205;   -312;    53;  7141;NGC 6242                       ;253.8780;-39.4740
NGC_6249         ;254.445;-44.815;341.545; -1.202; 0.041;  57;  1.730; 0.198; -3.428; 0.122; 0.788; 0.054;NN            ; 7.31; 1.40;10.50;  1261;   1196;   -399;   -26;  7155;NGC 6249                       ;254.4450;-44.8150
NGC_6250         ;254.497;-45.951;340.678; -1.936; 0.105;  76;  0.454; 0.156; -2.379; 0.142; 0.988; 0.059;NN            ; 7.38; 1.18;10.00;   998;    941;   -330;   -33;  7405;NGC 6250                       ;254.4970;-45.9510
NGC_6253         ;254.778;-52.712;335.459; -6.257; 0.060; 324; -4.537; 0.144; -5.280; 0.117; 0.563; 0.051;NN            ; 9.51; 0.78;11.09;  1653;   1495;   -682;  -180;  6878;NGC 6253                       ;254.7780;-52.7120
NGC_6259         ;255.195;-44.678;341.983; -1.535; 0.144; 738; -1.015; 0.126; -2.892; 0.123; 0.408; 0.057;NN            ; 8.43; 1.87;11.82;  2314;   2200;   -715;   -61;  6181;NGC 6259                       ;255.1950;-44.6780
NGC_6268         ;255.524;-39.721;346.047;  1.315; 0.080;  93;  0.908; 0.125; -0.781; 0.119; 0.634; 0.073;NN            ; 8.30; 1.19;11.13;  1684;   1634;   -406;    38;  6717;NGC 6268                       ;255.5240;-39.7210
NGC_6281         ;256.179;-37.948;347.764;  1.990; 0.259; 497; -1.856; 0.297; -4.017; 0.236; 1.873; 0.080;NN            ; 8.71; 0.30; 8.66;   539;    527;   -114;    18;  7813;NGC 6281                       ;256.1790;-37.9480
NGC_6318         ;259.044;-39.424;347.902; -0.686; 0.045; 149; -0.740; 0.144; -2.451; 0.107; 0.410; 0.045;NN            ; 6.99; 3.46;11.73;  2213;   2164;   -463;   -26;  6193;NGC 6318                       ;259.0440;-39.4240
NGC_6322         ;259.625;-42.937;345.285; -3.071; 0.066;  60;  0.183; 0.166; -2.272; 0.138; 0.728; 0.093;NN            ; 7.17; 1.92;10.69;  1377;   1330;   -349;   -73;  7018;NGC 6322                       ;259.6250;-42.9370
NGC_6357         ;261.185;-34.203;353.166;  0.890; 0.052;  94; -0.854; 0.218; -2.083; 0.320; 0.567; 0.085;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;NGC 6357                       ;261.1850;-34.2030
NGC_637          ;025.775;+64.038;128.550;  1.731; 0.030;  68; -1.204; 0.081;  0.026; 0.079; 0.338; 0.032;NN            ; 7.58; 1.67;11.99;  2503;  -1559;   1956;    75; 10091;NGC 637                        ;025.7750;+64.0380
NGC_6383         ;263.673;-32.573;355.672;  0.057; 0.082; 245;  2.596; 0.285; -1.708; 0.249; 0.873; 0.148;NN            ; 6.60; 1.30;10.24;  1117;   1114;    -84;     1;  7225;NGC 6383                       ;263.6730;-32.5730
NGC_6396         ;264.399;-35.013;353.941; -1.766; 0.029;  58; -0.451; 0.132; -2.050; 0.106; 0.353; 0.064;NN            ; 7.18; 2.93;12.01;  2519;   2504;   -265;   -77;  5841;NGC 6396                       ;264.3990;-35.0130
NGC_6400         ;265.062;-36.957;352.579; -3.254; 0.096; 185;  0.499; 0.153; -2.549; 0.146; 0.797; 0.052;NN            ; 8.48; 0.93;10.40;  1200;   1188;   -154;   -68;  7153;NGC 6400                       ;265.0620;-36.9570
NGC_6404         ;264.916;-33.224;355.683; -1.173; 0.061; 227;  0.194; 0.129; -0.705; 0.125; 0.355; 0.065;NN            ; 8.00; 3.47;11.99;  2500;   2493;   -188;   -51;  5849;NGC 6404                       ;264.9160;-33.2240
NGC_6405         ;265.069;-32.242;356.584; -0.760; 0.275; 573; -1.306; 0.341; -5.847; 0.342; 2.172; 0.095;NN            ; 7.54; 0.49; 8.31;   459;    459;    -27;    -6;  7880;NGC 6405                       ;265.0690;-32.2420
NGC_6416         ;266.014;-32.344;356.918; -1.493; 0.241; 251; -1.946; 0.164; -2.327; 0.116; 0.922; 0.052;NN            ; 8.36; 0.76;10.05;  1020;   1019;    -54;   -26;  7321;NGC 6416                       ;266.0140;-32.3440
NGC_6425         ;266.733;-31.507;357.950; -1.578; 0.114; 128;  3.801; 0.151; -1.647; 0.123; 0.987; 0.071;NN            ; 8.67; 0.87; 9.95;   976;    975;    -34;   -26;  7364;NGC 6425                       ;266.7330;-31.5070
NGC_6444         ;267.408;-34.816;355.404; -3.761; 0.102;  86; -0.936; 0.076; -0.902; 0.090; 0.524; 0.038;NN            ; 8.25; 1.10;11.44;  1942;   1931;   -155;  -127;  6410;NGC 6444                       ;267.4080;-34.8160
NGC_6451         ;267.675;-30.206;359.482; -1.602; 0.078; 150; -0.105; 0.111; -1.335; 0.089; 0.304; 0.049;NN            ; 7.41; 2.20;12.22;  2777;   2776;    -25;   -77;  5563;NGC 6451                       ;267.6750;-30.2060
NGC_6469         ;268.277;-22.300;  6.560;  1.965; 0.061;  48;  0.638; 0.120;  0.813; 0.076; 0.587; 0.060;NN            ; 7.84; 1.62;11.17;  1710;   1697;    195;    58;  6644;NGC 6469                       ;268.2770;-22.3000
NGC_6475         ;268.447;-34.841;355.813; -4.513; 0.834; 819;  3.099; 0.493; -5.426; 0.449; 3.572; 0.108;NN            ; 8.35; 0.30; 7.28;   285;    283;    -20;   -22;  8056;NGC 6475                       ;268.4470;-34.8410
NGC_6494         ;269.237;-18.987;  9.878;  2.858; 0.292; 724;  0.284; 0.220; -1.809; 0.220; 1.354; 0.062;NN            ; 8.58; 0.91; 9.35;   742;    730;    127;    37;  7610;NGC 6494                       ;269.2370;-18.9870
NGC_6520         ;270.856;-27.884;  2.887; -2.846; 0.028;  44;  0.688; 0.126; -0.418; 0.120; 0.556; 0.074;NN            ; 8.09; 0.88;11.10;  1663;   1659;     83;   -82;  6681;NGC 6520                       ;270.8560;-27.8840
NGC_6531         ;271.036;-22.505;  7.656; -0.348; 0.118; 158;  0.525; 0.171; -1.521; 0.161; 0.798; 0.060;NN            ; 7.11; 0.67;10.33;  1165;   1154;    155;    -7;  7186;NGC 6531                       ;271.0360;-22.5050
