Cluster;RA_ICRS;DE_ICRS;GLON;GLAT;r50;nbstars07;pmRA*;e_pmRA*;pmDE;e_pmDE;plx;e_plx;Flag;AgeNN;AVNN;DMNN;DistPc;X;Y;Z;Rgc;SimbadName;_RA.icrs;_DE.icrs
NGC_2659         ;130.634;-44.999;264.182; -1.671; 0.042;  82; -5.336; 0.137;  5.028; 0.123; 0.452; 0.066;NN            ; 7.64; 1.21;11.61;  2095;   -212;  -2083;   -61;  8802;NGC 2659                       ;130.6340;-44.9990
NGC_2660         ;130.667;-47.201;265.934; -3.009; 0.035; 402; -2.763; 0.121;  5.165; 0.129; 0.308; 0.063;NN            ; 8.97; 1.19;12.23;  2788;   -197;  -2777;  -146;  8978;NGC 2660                       ;130.6670;-47.2010
NGC_2669         ;131.611;-52.931;270.829; -6.073; 0.118; 209; -4.136; 0.138;  4.649; 0.142; 0.845; 0.046;NN            ; 8.13; 0.51;10.20;  1096;     15;  -1090;  -116;  8395;NGC 2669                       ;131.6110;-52.9310
NGC_2670         ;131.386;-48.801;267.491; -3.620; 0.110; 191; -5.379; 0.126;  3.621; 0.112; 0.647; 0.040;NN            ; 8.01; 1.08;10.90;  1512;    -66;  -1508;   -95;  8540;NGC 2670                       ;131.3860;-48.8010
NGC_2671         ;131.557;-41.886;262.157;  0.786; 0.071; 123; -1.569; 0.149;  0.940; 0.137; 0.687; 0.031;NN            ; 8.52; 2.31;10.71;  1386;   -189;  -1372;    19;  8638;NGC 2671                       ;131.5570;-41.8860
NGC_2682         ;132.846;+11.814;215.691; 31.921; 0.166; 598;-10.986; 0.193; -2.964; 0.201; 1.135; 0.051;NN            ; 9.63; 0.07; 9.75;   889;   -613;   -440;   470;  8964;NGC 2682                       ;132.8460;+11.8140
NGC_2818         ;139.044;-36.624;262.001;  8.608; 0.078; 252; -4.439; 0.075;  4.528; 0.079; 0.275; 0.045;NN            ; 8.92; 0.43;12.45;  3085;   -424;  -3020;   461;  9270;NAME NGC 2818 Open Cluster     ;139.0440;-36.6240
NGC_2849         ;139.850;-40.520;265.274;  6.362; 0.027; 149; -4.272; 0.095;  3.519; 0.121; 0.142; 0.062;NN            ; 9.02; 0.85;13.59;  5221;   -427;  -5172;   578; 10179;NGC 2849                       ;139.8500;-40.5200
NGC_2866         ;140.526;-51.100;273.122; -0.766; 0.019;  87; -5.111; 0.104;  4.658; 0.135; 0.328; 0.082;NN            ; 7.80; 1.67;12.33;  2926;    159;  -2922;   -39;  8686;NGC 2866                       ;140.5260;-51.1000
NGC_2910         ;142.643;-52.913;275.318; -1.164; 0.053; 118; -6.802; 0.163;  6.159; 0.157; 0.746; 0.037;NN            ; 8.11; 0.57;10.51;  1266;    117;  -1260;   -25;  8318;NGC 2910                       ;142.6430;-52.9130
NGC_2925         ;143.321;-53.413;275.956; -1.254; 0.141;  84; -8.533; 0.171;  5.336; 0.145; 1.295; 0.046;NN            ; 8.11; 0.20; 9.34;   738;     76;   -734;   -16;  8295;NGC 2925                       ;143.3211;-53.4130
NGC_2972         ;145.058;-50.326;274.691;  1.759; 0.043;  93; -5.085; 0.125;  2.489; 0.087; 0.483; 0.050;NN            ; 8.69; 1.22;11.49;  1986;    162;  -1979;    60;  8413;NGC 2972                       ;145.0580;-50.3260
NGC_3033         ;147.145;-56.415;279.588; -2.070; 0.102;  84; -7.554; 0.107;  4.254; 0.090; 0.532; 0.035;NN            ; 8.83; 0.76;11.26;  1784;    297;  -1758;   -64;  8232;NGC 3033                       ;147.1451;-56.4150
NGC_3105         ;150.169;-54.790;279.919;  0.265; 0.018;  84; -4.161; 0.145;  2.714; 0.115; 0.104; 0.086;NN            ; 7.34; 2.66;14.53;  8071;   1390;  -7951;    37; 10560;NGC 3105                       ;150.1690;-54.7900
NGC_3114         ;150.553;-60.041;283.246; -3.805; 0.410;1222; -7.376; 0.187;  3.779; 0.191; 0.954; 0.048;NN            ; 8.16; 0.27;10.05;  1021;    233;   -991;   -67;  8166;NGC 3114                       ;150.5531;-60.0410
NGC_3228         ;155.378;-51.814;280.763;  4.486; 0.512; 117;-14.867; 0.298; -0.696; 0.242; 2.036; 0.074;NN            ; 7.48; 0.08; 8.49;   498;     92;   -488;    38;  8261;NGC 3228                       ;155.3781;-51.8140
NGC_3255         ;156.635;-60.675;286.090; -2.632; 0.019; 100; -5.913; 0.095;  3.322; 0.085; 0.120; 0.055;NN            ; 8.35; 0.92;13.69;  5469;   1514;  -5250;  -251;  8611;NGC 3255                       ;156.6351;-60.6750
NGC_3293         ;158.970;-58.231;285.860;  0.075; 0.066; 330; -7.671; 0.132;  3.344; 0.137; 0.376; 0.043;NN            ; 7.01; 0.90;12.17;  2710;    740;  -2607;     3;  8034;NGC 3293                       ;158.9701;-58.2310
NGC_3324         ;159.341;-58.615;286.219; -0.164; 0.049;  41; -7.112; 0.110;  2.782; 0.143; 0.356; 0.040;NN            ; 7.03; 1.19;11.89;  2389;    667;  -2294;    -6;  8008;NGC 3324                       ;159.3411;-58.6150
NGC_3330         ;159.659;-54.148;284.183;  3.818; 0.124;  92; -7.705; 0.110;  2.996; 0.109; 0.552; 0.063;NN            ; 7.91; 0.45;11.17;  1716;    419;  -1660;   114;  8092;NGC 3330                       ;159.6591;-54.1480
NGC_3496         ;164.877;-60.335;289.504; -0.414; 0.093; 377; -7.408; 0.077;  2.668; 0.088; 0.391; 0.032;NN            ; 8.70; 1.27;11.82;  2310;    771;  -2177;   -16;  7875;NGC 3496                       ;164.8771;-60.3350
NGC_3532         ;166.417;-58.707;289.554;  1.390; 0.536;1854;-10.385; 0.396;  5.175; 0.404; 2.066; 0.062;NN            ; 8.60; 0.00; 8.49;   498;    166;   -469;    12;  8186;NGC 3532                       ;166.4171;-58.7070
NGC_3572         ;167.640;-60.294;290.742;  0.169; 0.074;  75; -6.261; 0.103;  1.893; 0.166; 0.376; 0.051;NN            ; 6.68; 1.53;11.95;  2455;    869;  -2296;     7;  7815;NGC 3572                       ;167.6401;-60.2940
NGC_3590         ;168.262;-60.790;291.212; -0.177; 0.034; 167; -6.100; 0.134;  1.013; 0.125; 0.361; 0.048;NN            ; 7.42; 1.30;12.11;  2638;    954;  -2459;    -8;  7784;NGC 3590                       ;168.2621;-60.7900
NGC_3603         ;168.795;-61.259;291.624; -0.518; 0.039; 272; -5.543; 0.189;  1.961; 0.149; 0.076; 0.074;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;NGC 3603                       ;168.7950;-61.2590
NGC_366          ;016.624;+62.219;124.686; -0.602; 0.038; 130; -2.071; 0.110; -0.425; 0.130; 0.355; 0.063;NN            ; 7.41; 3.10;12.14;  2677;  -1523;   2201;   -28; 10106;NGC 366                        ;016.6240;+62.2190
NGC_3680         ;171.392;-43.240;286.751; 16.918; 0.149;  96; -7.278; 0.109;  1.118; 0.113; 0.933; 0.042;NN            ; 9.34; 0.10;10.15;  1072;    295;   -982;   312;  8103;NGC 3680                       ;171.3920;-43.2400
NGC_3766         ;174.061;-61.616;294.120; -0.037; 0.116; 531; -6.731; 0.111;  0.961; 0.119; 0.459; 0.042;NN            ; 7.36; 0.66;11.64;  2123;    867;  -1938;    -1;  7719;NGC 3766                       ;174.0611;-61.6160
NGC_381          ;017.094;+61.586;124.946; -1.219; 0.093; 137;  1.602; 0.124; -2.263; 0.141; 0.847; 0.045;NN            ; 8.58; 0.93;10.35;  1172;   -671;    961;   -24;  9062;NGC 381                        ;017.0940;+61.5860
NGC_3960         ;177.644;-55.679;294.372;  6.178; 0.071; 243; -6.522; 0.088;  1.853; 0.082; 0.400; 0.039;NN            ; 8.94; 0.84;11.85;  2345;    962;  -2124;   252;  7677;NGC 3960                       ;177.6440;-55.6790
NGC_4052         ;180.446;-63.230;297.375; -0.895; 0.101; 137; -6.836; 0.072;  0.069; 0.073; 0.323; 0.044;NN            ; 8.52; 1.01;12.08;  2603;   1197;  -2311;   -40;  7507;NGC 4052                       ;180.4461;-63.2300
NGC_4103         ;181.628;-61.245;297.555;  1.156; 0.115; 313; -6.184; 0.117;  0.075; 0.107; 0.473; 0.053;NN            ; 7.32; 0.85;11.57;  2060;    953;  -1826;    41;  7609;NGC 4103                       ;181.6281;-61.2450
NGC_433          ;018.798;+60.133;125.888; -2.602; 0.058;  88; -1.422; 0.099; -0.720; 0.115; 0.463; 0.052;NN            ; 8.14; 1.80;11.56;  2050;  -1200;   1659;   -93;  9683;NGC 433                        ;018.7980;+60.1330
NGC_4337         ;186.022;-58.125;299.316;  4.555; 0.055; 210; -8.841; 0.080;  1.468; 0.085; 0.357; 0.042;NN            ; 9.16; 1.06;11.95;  2450;   1195;  -2129;   194;  7454;NGC 4337                       ;186.0221;-58.1250
NGC_4349         ;186.048;-61.866;299.726;  0.836; 0.075; 105; -7.827; 0.159; -0.296; 0.119; 0.490; 0.036;NN            ; 8.50; 1.01;11.42;  1920;    951;  -1667;    28;  7573;NGC 4349                       ;186.0481;-61.8660
NGC_436          ;019.001;+58.820;126.114; -3.899; 0.045; 161; -0.986; 0.076; -0.577; 0.092; 0.262; 0.049;NN            ; 7.75; 1.40;12.46;  3109;  -1828;   2506;  -211; 10472;NGC 436                        ;019.0010;+58.8200
NGC_4439         ;187.119;-60.097;300.071;  2.647; 0.063;  55; -7.089; 0.145; -0.413; 0.159; 0.474; 0.060;NN            ; 7.72; 0.99;11.52;  2011;   1006;  -1738;    92;  7536;NGC 4439                       ;187.1191;-60.0970
NGC_4463         ;187.466;-64.800;300.637; -2.024; 0.057;  67; -5.326; 0.090; -0.435; 0.094; 0.523; 0.041;NN            ; 7.46; 1.53;11.28;  1804;    919;  -1551;   -63;  7581;NGC 4463                       ;187.4661;-64.8000
NGC_457          ;019.887;+58.278;126.631; -4.392; 0.125; 509; -1.586; 0.093; -0.661; 0.098; 0.318; 0.045;NN            ; 7.32; 1.42;12.20;  2749;  -1635;   2199;  -210; 10215;NGC 457                        ;019.8870;+58.2780
NGC_4609         ;190.582;-62.995;301.898; -0.141; 0.137; 286; -4.870; 0.127; -1.045; 0.146; 0.660; 0.053;NN            ; 7.91; 0.88;10.76;  1419;    750;  -1205;    -3;  7684;NGC 4609                       ;190.5820;-62.9950
NGC_4755         ;193.415;-60.371;303.207;  2.500; 0.086; 595; -4.647; 0.132; -1.134; 0.134; 0.462; 0.044;NN            ; 7.08; 1.22;11.50;  1992;   1090;  -1665;    86;  7438;NGC 4755                       ;193.4150;-60.3710
NGC_4815         ;194.499;-64.960;303.626; -2.097; 0.056; 531; -5.754; 0.111; -0.964; 0.103; 0.261; 0.062;NN            ; 8.57; 1.75;12.59;  3295;   1823;  -2742;  -120;  7069;NGC 4815                       ;194.4991;-64.9600
NGC_4852         ;195.046;-59.607;304.040;  3.246; 0.123; 190; -8.118; 0.114; -1.205; 0.129; 0.752; 0.061;NN            ; 7.89; 0.94;10.51;  1261;    705;  -1044;    71;  7705;NGC 4852                       ;195.0461;-59.6070
NGC_5138         ;201.829;-59.023;307.544;  3.527; 0.070;  95; -3.597; 0.080; -1.449; 0.089; 0.510; 0.053;NN            ; 7.68; 0.73;11.31;  1827;   1111;  -1446;   112;  7371;NGC 5138                       ;201.8290;-59.0230
NGC_5168         ;202.791;-60.945;307.738;  1.556; 0.044; 183; -4.131; 0.091; -1.478; 0.122; 0.280; 0.069;NN            ; 8.78; 1.45;12.31;  2892;   1769;  -2286;    78;  6956;NGC 5168                       ;202.7910;-60.9450
NGC_5269         ;206.147;-62.907;308.941; -0.657; 0.048;  49; -4.490; 0.078; -1.918; 0.075; 0.460; 0.036;NN            ; 8.12; 0.99;11.59;  2080;   1307;  -1618;   -23;  7216;NGC 5269                       ;206.1470;-62.9070
NGC_5281         ;206.614;-62.916;309.147; -0.710; 0.046;  32; -4.628; 0.098; -2.389; 0.097; 0.603; 0.043;NN            ; 7.60; 0.66;10.99;  1576;    995;  -1222;   -19;  7445;NGC 5281                       ;206.6140;-62.9160
NGC_5288         ;207.193;-64.680;309.016; -2.487; 0.044; 101; -3.850; 0.098; -1.935; 0.087; 0.345; 0.041;NN            ; 8.67; 1.38;12.14;  2675;   1682;  -2077;  -116;  6973;NGC 5288                       ;207.1930;-64.6800
NGC_5316         ;208.516;-61.883;310.239;  0.097; 0.170; 365; -6.297; 0.099; -1.515; 0.119; 0.665; 0.055;NN            ; 8.22; 0.92;10.81;  1450;    936;  -1107;     2;  7485;NGC 5316                       ;208.5161;-61.8830
NGC_5381         ;210.205;-59.578;311.621;  2.118; 0.132; 376; -6.034; 0.116; -2.932; 0.122; 0.379; 0.052;NN            ; 8.55; 1.62;11.85;  2349;   1559;  -1754;    86;  7004;NGC 5381                       ;210.2051;-59.5780
NGC_5460         ;211.847;-48.285;315.754; 12.686; 0.258; 148; -6.599; 0.170; -3.454; 0.191; 1.340; 0.058;NN            ; 8.20; 0.30; 9.30;   725;    506;   -493;   159;  7848;NGC 5460                       ;211.8470;-48.2850
NGC_559          ;022.387;+63.301;127.197;  0.746; 0.081; 529; -4.258; 0.113;  0.254; 0.130; 0.325; 0.060;NN            ; 8.41; 2.19;12.30;  2884;  -1743;   2297;    37; 10341;NGC 559                        ;022.3870;+63.3010
NGC_5593         ;216.419;-54.795;316.320;  5.608; 0.135;  80; -5.806; 0.113; -2.078; 0.124; 0.947; 0.055;NN            ; 7.94; 0.71;10.06;  1029;    740;   -707;   100;  7631;NGC 5593                       ;216.4190;-54.7950
NGC_5606         ;216.946;-59.632;314.840;  0.993; 0.034;  36; -4.880; 0.082; -2.897; 0.103; 0.374; 0.040;NN            ; 7.26; 1.69;11.98;  2493;   1757;  -1767;    43;  6815;NGC 5606                       ;216.9460;-59.6320
NGC_5617         ;217.452;-60.719;314.676; -0.110; 0.117; 565; -5.641; 0.099; -3.172; 0.146; 0.400; 0.048;NN            ; 8.02; 1.55;11.75;  2236;   1572;  -1590;    -4;  6952;NGC 5617                       ;217.4520;-60.7190
NGC_5662         ;218.734;-56.640;316.842;  3.411; 0.330; 238; -6.427; 0.160; -7.243; 0.187; 1.288; 0.048;NN            ; 8.30; 0.60; 9.41;   761;    554;   -519;    45;  7802;NGC 5662                       ;218.7341;-56.6400
NGC_5715         ;220.859;-57.578;317.520;  2.087; 0.065; 148; -3.487; 0.123; -2.324; 0.114; 0.435; 0.045;NN            ; 8.73; 1.68;11.63;  2117;   1560;  -1428;    77;  6928;NGC 5715                       ;220.8590;-57.5780
NGC_5749         ;222.204;-54.502;319.518;  4.545; 0.139;  71; -2.756; 0.112; -3.079; 0.128; 0.890; 0.050;NN            ; 7.72; 0.90;10.25;  1122;    851;   -726;    88;  7523;NGC 5749                       ;222.2040;-54.5020
NGC_5764         ;223.389;-52.667;320.972;  5.874; 0.034;  40; -3.325; 0.137; -2.318; 0.095; 0.473; 0.036;manual        ; 9.12; 1.70;11.51;  2002;   1547;  -1254;   204;  6907;NGC 5764                       ;223.3890;-52.6670
NGC_581          ;023.339;+60.659;128.047; -1.796; 0.062; 131; -1.384; 0.071; -0.497; 0.080; 0.373; 0.038;NN            ; 7.44; 1.09;11.99;  2502;  -1541;   1969;   -78; 10075;NGC 581                        ;023.3390;+60.6590
NGC_5822         ;226.051;-54.366;321.570;  3.630; 0.368; 634; -7.422; 0.222; -5.534; 0.205; 1.187; 0.050;NN            ; 8.96; 0.39; 9.66;   854;    668;   -530;    54;  7689;NGC 5822                       ;226.0511;-54.3660
NGC_5823         ;226.365;-55.608;321.118;  2.459; 0.134; 464; -3.691; 0.141; -2.443; 0.130; 0.521; 0.051;NN            ; 7.90; 1.75;11.40;  1906;   1482;  -1195;    81;  6960;NGC 5823                       ;226.3650;-55.6080
