Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,E(B-V)
59,Alessi_6,220.058,-66.127,313.643,-5.544,0.294,164,-10.472,-5.559,1.1,NN,8.63,0.7,9.74,886.0,608.0,-638.0,-85.0,7757.0,ClAlessi6,220.0581,-66.127,
60,Alessi_60,105.619,-1.12,215.188,1.944,0.048,67,-0.83,-0.653,0.336,NN,8.35,0.83,12.35,2953.0,-2412.0,-1700.0,100.0,10885.0,ClAlessi60,105.619,-1.12,0.265
61,Alessi_62,284.026,21.597,52.816,8.685,0.256,142,0.245,-1.074,1.591,NN,8.84,0.78,9.07,650.0,388.0,512.0,98.0,7967.0,ClAlessi62,284.026,21.597,0.195
62,Alessi_8,232.408,-51.227,326.501,4.259,0.224,50,-5.899,-5.729,1.479,NN,8.07,0.19,9.12,668.0,555.0,-367.0,49.0,7792.0,ClAlessi8,232.408,-51.227,
63,Alessi_9,265.974,-47.028,344.269,-9.058,1.73,183,9.916,-9.157,4.822,NN,8.45,0.0,6.66,215.0,204.0,-57.0,-33.0,8135.0,ClAlessi9,265.9739,-47.028,
64,Alessi_Teutsch_11,304.127,52.051,87.435,9.268,0.257,110,-0.139,-1.295,1.52,NN,8.16,0.37,9.01,634.0,28.0,625.0,102.0,8335.0,NAMEAlessiTeutsch11,304.127,52.051,0.055
65,Alessi_Teutsch_12,255.421,-58.981,330.635,-10.337,0.489,41,-2.134,-8.952,1.632,NN,7.94,0.35,9.03,641.0,549.0,-309.0,-115.0,7796.0,NAMEAlessi-Teutsch12,255.421,-58.981,
66,Alessi_Teutsch_3,118.228,-53.022,266.426,-12.849,0.491,87,-5.378,8.926,1.417,NN,8.02,0.47,9.2,693.0,-42.0,-674.0,-154.0,8409.0,NAMEAlessiTeutsch3,118.228,-53.022,
67,Alessi_Teutsch_5,332.218,61.103,104.536,4.179,0.427,127,-1.895,-3.207,1.111,NN,7.27,1.02,9.79,907.0,-227.0,876.0,66.0,8611.0,NAMEAlessi-Teutsch5,332.218,61.103,0.38
68,Alessi_Teutsch_8,180.649,-60.935,297.033,1.376,0.298,319,-6.625,1.63,0.967,NN,8.07,0.49,9.98,989.0,449.0,-881.0,23.0,7939.0,NAMEAlessiTeutsch8,180.6491,-60.935,
69,Andrews_Lindsay_5,281.079,-4.931,27.733,-0.667,0.023,58,-0.901,-3.562,0.137,tooRed,,,,,,,,,[AL67]Cl*5,281.079,-4.931,1.3349999
70,Antalova_2,262.462,-32.541,355.141,0.929,0.097,27,2.037,-1.65,0.842,NN,7.08,1.15,10.12,1056.0,1052.0,-89.0,17.0,7287.0,ClAntalova2,262.462,-32.541,
71,Archinal_1,283.709,5.55,38.259,1.775,0.04,65,-0.225,-1.578,0.526,tooRed,,,,,,,,,NAMEArchinal1,283.709,5.55,3.0949998
72,Arp_Madore_2,114.683,-33.845,248.123,-5.884,0.026,29,-0.513,1.225,0.039,NN,9.48,1.49,15.35,11751.0,-4355.0,-10848.0,-1204.0,16699.0,ClAM2,114.683,-33.845,
73,Auner_1,106.06,-19.748,231.992,-6.16,0.026,41,-0.28,1.015,0.093,NN,9.49,0.99,14.77,8984.0,-5500.0,-7038.0,-964.0,15527.0,ClAuner1,106.06,-19.748,0.42
74,Aveni_Hunter_1,354.175,48.205,110.284,-12.823,0.496,82,-0.184,-2.087,2.348,NN,7.02,0.75,8.03,402.0,-136.0,368.0,-89.0,8484.0,NAMEAVENI-HUNTER1,354.175,48.205,0.14999999
75,BDSB30,333.667,61.433,105.298,4.05,0.024,33,-1.579,-3.005,1.109,tooRed,,,,,,,,,[BDS2003]30,333.667,61.433,2.3449998
76,BDSB91,96.319,-10.551,219.468,-10.554,0.036,32,-3.183,1.15,1.033,NN,7.15,1.8,9.91,961.0,-729.0,-600.0,-176.0,9089.0,[BDS2003]91,96.319,-10.551,0.90519965
77,BDSB93,104.297,-8.202,220.888,-2.462,0.036,32,-2.41,1.021,0.77,NN,7.2,1.77,10.39,1196.0,-903.0,-782.0,-51.0,9276.0,[BDS2003]93,104.297,-8.202,0.73554623
78,BDSB96,106.332,-12.327,225.477,-2.561,0.045,65,-3.843,1.071,0.844,manual,6.9,1.22,10.29,1144.0,-801.0,-815.0,-51.0,9178.0,[BDS2003]96,106.332,-12.327,0.24011122
79,BH_111,167.32,-63.834,291.956,-3.161,0.029,27,-8.176,2.941,0.339,NN,8.29,1.28,12.27,2850.0,1064.0,-2639.0,-157.0,7739.0,ClVDBH111,167.3201,-63.834,
80,BH_118,170.765,-58.549,291.604,2.366,0.023,61,-4.406,1.45,0.065,NN,9.28,1.07,14.72,8807.0,3240.0,-8181.0,363.0,9641.0,ClVDBH118,170.765,-58.549,
81,BH_121,174.661,-63.387,294.886,-1.658,0.154,174,-6.0,0.63,0.387,NN,6.42,1.11,11.91,2413.0,1015.0,-2188.0,-69.0,7644.0,ClVDBH121,174.6611,-63.387,
82,BH_132,186.72,-64.058,300.25,-1.315,0.046,52,-6.22,-0.177,0.362,manual,8.2,1.24,12.03,2541.0,1279.0,-2194.0,-58.0,7393.0,ClVDBH132,186.7201,-64.058,
83,BH_144,198.808,-65.92,305.359,-3.161,0.024,73,-5.111,-0.375,0.045,NN,9.17,1.68,14.92,9649.0,5575.0,-7857.0,-532.0,8329.0,ClVDBH144,198.8081,-65.92,
84,BH_150,204.506,-63.346,308.128,-0.946,0.025,43,-6.395,-1.534,0.178,NN,7.34,3.76,13.73,5580.0,3445.0,-4389.0,-92.0,6574.0,ClVDBH150,204.5061,-63.346,
85,BH_151,205.051,-61.731,308.672,0.596,0.008,29,-5.853,-1.878,0.176,NN,7.2,4.06,13.49,4989.0,3117.0,-3895.0,51.0,6515.0,ClVDBH151,205.0511,-61.731,
86,BH_164,222.311,-66.465,314.323,-6.235,0.639,204,-7.368,-10.714,2.364,NN,7.51,0.17,8.21,438.0,304.0,-311.0,-47.0,8041.0,ClVDBH164,222.3111,-66.465,
87,BH_19,121.768,-32.355,249.881,-0.022,0.025,45,-2.897,3.547,0.19,NN,8.49,1.96,13.3,4563.0,-1569.0,-4285.0,-1.0,10796.0,ClVDBH19,121.768,-32.355,
88,BH_200,252.484,-44.182,341.153,0.283,0.054,94,-0.025,-1.132,0.406,NN,8.21,2.02,11.82,2314.0,2190.0,-747.0,11.0,6194.0,ClVDBH200,252.484,-44.182,
89,BH_202,253.779,-40.947,344.259,1.598,0.064,95,-1.869,-3.802,0.551,NN,8.58,1.84,11.22,1752.0,1686.0,-475.0,48.0,6670.0,ClVDBH202,253.779,-40.947,
90,BH_205,254.053,-40.636,344.632,1.632,0.097,55,-0.15,-1.083,0.569,NN,6.79,1.23,11.03,1604.0,1546.0,-425.0,45.0,6806.0,ClVDBH205,254.053,-40.636,
91,BH_211,255.535,-41.113,344.95,0.456,0.082,71,-0.671,-1.943,0.524,NN,8.63,2.18,11.4,1903.0,1837.0,-494.0,15.0,6520.0,ClVDBH211,255.535,-41.113,
92,BH_217,259.071,-40.815,346.781,-1.51,0.039,99,-0.661,-1.826,0.31,NN,7.54,3.27,12.46,3106.0,3023.0,-710.0,-81.0,5363.0,ClVDBH217,259.071,-40.815,
93,BH_221,259.641,-32.334,353.972,3.014,0.152,133,2.0,-1.568,0.884,NN,7.03,1.09,10.42,1213.0,1204.0,-127.0,63.0,7136.0,ClVDBH221,259.641,-32.334,
94,BH_222,259.694,-38.289,349.121,-0.443,0.02,104,-2.091,-3.192,0.114,tooRed,,,,,,,,,ClVDBH222,259.694,-38.289,
95,BH_23,123.449,-36.329,253.969,-1.03,0.372,86,-7.101,7.35,2.257,NN,7.46,0.0,8.32,462.0,-127.0,-444.0,-8.0,8479.0,ClVDBH23,123.449,-36.329,
96,BH_245,266.561,-29.7,359.419,-0.513,0.016,31,-0.497,-2.194,0.336,tooRed,,,,,,,,,ClVDBH245,266.561,-29.7,1.4200001
97,BH_37,128.946,-43.61,262.345,-1.785,0.034,101,-3.484,3.953,0.243,NN,8.24,3.4,13.03,4038.0,-537.0,-4000.0,-125.0,9737.0,ClVDBH37,128.946,-43.61,
98,BH_54,132.413,-44.353,264.468,-0.279,0.048,42,-4.759,5.244,0.42,NN,6.94,2.53,11.76,2245.0,-216.0,-2235.0,-10.0,8843.0,ClVDBH54,132.413,-44.353,
